source_url	parsed_url
https://www.mediamatters.org/	https://www.mediamatters.org/tucker-carlson/tucker-carlson-says-democrats-are-trying-replace-trump-supporting-police-anti-trump
https://www.mediamatters.org/	https://www.mediamatters.org/tucker-carlson/former-acting-dni-ric-grenell-tells-fox-too-much-government-experience-means-youre
https://www.mediamatters.org/	https://www.mediamatters.org/submissions
https://www.mediamatters.org/	https://fonts.googleapis.com/css?family=Barlow:400,400i,600,600i,700,700i
https://www.mediamatters.org/	https://www.mediamatters.org/black-lives-matter/right-wing-media-claim-black-lives-matter-advocates-against-family-through
https://www.mediamatters.org/	https://www.mediamatters.org/tucker-carlson/tucker-carlson-attacks-dcs-renaming-black-lives-matter-plaza
https://www.mediamatters.org/	https://www.mediamatters.org/crime-and-criminal-justice/fox-news-side-anchor-we-have-have-much-focus-crime-chicago-police
https://www.mediamatters.org/	https://www.mediamatters.org/climate-energy
https://www.mediamatters.org/	https://www.mediamatters.org/these-are-tucker-carlsons-leading-advertisers
https://www.mediamatters.org/	https://www.mediamatters.org/sean-hannity/sean-hannity-warns-black-lives-matter-will-patrol-streets-armed-militias
https://www.mediamatters.org/	https://www.mediamatters.org/#study
https://www.mediamatters.org/	https://www.mediamatters.org/sites/default/files/css/css_oGZ7OLJDM4FApNs8xyoZMUIkjUZCXrNP16OA9NXAcMA.css
https://www.mediamatters.org/	https://www.mediamatters.org/sinclair-broadcast-group/sinclair-boosting-anti-black-former-fox-news-hosts-who-are-attacking
https://www.mediamatters.org/	https://www.mediamatters.org/new-york-times/major-outlets-disrespectfully-deadnamed-trans-trailblazer-aimee-stephens-after-death
https://www.mediamatters.org/	https://use.typekit.net/jqh3ujo.css
https://www.mediamatters.org/	https://www.mediamatters.org/fox-news/fox-news-advertisers-claim-support-black-lives-matter-social-media
https://www.mediamatters.org/	https://www.mediamatters.org/sean-hannity/fox-news-reporter-racists-statues-display-us-capitol-theyre-complicated
https://www.mediamatters.org/	https://www.mediamatters.org/sean-hannity/sean-hannity-russia-investigation-not-same-thing-what-happened-george-floyd-it
https://www.mediamatters.org/	https://www.mediamatters.org/black-lives-matter/study-right-wing-fearmongering-leads-facebook-engagement-about-peaceful-protests
